f(x, y) = x^2 - 2*y
Partial solution (Euler method):
   i               x              y
   0         0.00000         1.00000
   1         0.10000         0.80000
   2         0.20000         0.64100
   3         0.30000         0.51680
   4         0.40000         0.42244
   5         0.50000         0.35395
   6         0.60000         0.30816
   7         0.70000         0.28253
   8         0.80000         0.27502
   9         0.90000         0.28402
  10         1.00000         0.30821
