dy/dx = x^2 - 2*y
Partial solution (Euler method):

   i               x              y
   0        0.000000        1.000000
   1        0.100000        0.800000
   2        0.200000        0.641000
   3        0.300000        0.516800
   4        0.400000        0.422440
   5        0.500000        0.353952
   6        0.600000        0.308162
   7        0.700000        0.282529
   8        0.800000        0.275023
   9        0.900000        0.284019
  10        1.000000        0.308215
